epoch,total_loss,pde1_loss,pde2_loss,pde3_loss,learning_rate
0,9.402889251708984,0.0003844760067295283,4.1895978938555345e-05,0.0012543367920443416,0.0008
1,9.211524963378906,0.0004001575580332428,0.0004625426954589784,0.00020253643742762506,0.0008
2,8.99867057800293,0.0003851298533845693,0.00020706791838165373,0.0002629580849315971,0.0008
3,8.696137428283691,0.00029223604360595345,0.00012305636482778937,0.0005506945308297873,0.0008
4,8.295042037963867,0.0003775825316552073,0.00032905052648857236,0.00037543560029007494,0.0008
5,7.768963813781738,0.0007411906844936311,0.0008864012197591364,0.00010265924356644973,0.0008
6,7.081596851348877,0.0016617964720353484,0.001970146084204316,0.00018568363157100976,0.0008
7,6.208311557769775,0.0038934682961553335,0.003997232299298048,0.001245687948539853,0.0008
8,5.166084289550781,0.008877537213265896,0.007694031111896038,0.004333961755037308,0.0008
9,4.030311107635498,0.017164835706353188,0.013842647895216942,0.010184019804000854,0.0008
10,2.9533543586730957,0.029587987810373306,0.022956805303692818,0.019126635044813156,0.0008
11,2.2617154121398926,0.05755697190761566,0.03599948063492775,0.03697459027171135,0.0008
12,2.3648951053619385,0.12080129981040955,0.05167051777243614,0.07296370714902878,0.0008
13,2.974668502807617,0.11271443963050842,0.04951836168766022,0.05433051660656929,0.0008
14,3.4089112281799316,0.19322071969509125,0.055517930537462234,0.08723589777946472,0.0008
15,3.570047616958618,0.2552407383918762,0.056111983954906464,0.10236506909132004,0.0008
16,3.266906261444092,0.20017211139202118,0.048118650913238525,0.0609218068420887,0.0008
17,2.819455146789551,0.1367778778076172,0.04066462069749832,0.02526216395199299,0.0008
18,2.311840295791626,0.12235024571418762,0.03708256408572197,0.013814756646752357,0.0008
19,1.9578931331634521,0.13069601356983185,0.03482526168227196,0.009897562675178051,0.0008
20,1.8202403783798218,0.07324196398258209,0.029453566297888756,0.007614778820425272,0.0008
21,1.8749678134918213,0.08511503785848618,0.02852122113108635,0.01267324946820736,0.0008
22,1.9348493814468384,0.06449971348047256,0.026898575946688652,0.023668263107538223,0.0008
23,1.9481470584869385,0.04456367343664169,0.026180816814303398,0.03622548282146454,0.0008
24,1.88313627243042,0.03960033133625984,0.026761628687381744,0.03968341648578644,0.0008
25,1.7346553802490234,0.048368655145168304,0.028574034571647644,0.03292439505457878,0.0008
26,1.562878966331482,0.06398455053567886,0.03146836906671524,0.024553967639803886,0.0008
27,1.4037768840789795,0.06772227585315704,0.03336971625685692,0.02091938629746437,0.0008
28,1.3012781143188477,0.05463647469878197,0.03207213431596756,0.020053662359714508,0.0008
29,1.2070204019546509,0.07053092122077942,0.03217131644487381,0.02427499182522297,0.0008
30,1.065583348274231,0.06196695566177368,0.028469735756516457,0.029822904616594315,0.0008
31,0.8572462797164917,0.03682241216301918,0.02192145772278309,0.029085585847496986,0.0008
32,0.6554161310195923,0.03081856295466423,0.01640402339398861,0.03051360882818699,0.0008
33,0.5506991147994995,0.04242491349577904,0.010740802623331547,0.030826054513454437,0.0008
34,0.5664776563644409,0.08933726698160172,0.006004171445965767,0.02968093380331993,0.0008
35,0.6575434803962708,0.16141900420188904,0.002708195010200143,0.028349800035357475,0.0008
36,0.6835458278656006,0.20575720071792603,0.001377680222503841,0.028199097141623497,0.0008
37,0.5887929201126099,0.18053723871707916,0.0023201496805995703,0.03083697147667408,0.0008
38,0.48140648007392883,0.11318103224039078,0.006082415580749512,0.039685823023319244,0.0008
39,0.4672505259513855,0.07012766599655151,0.01118674036115408,0.04732207581400871,0.0008
40,0.5014894604682922,0.054963599890470505,0.015688244253396988,0.04842060059309006,0.0008
41,0.5036338567733765,0.05070483684539795,0.019105402752757072,0.044106073677539825,0.0008
42,0.4702696204185486,0.04758629947900772,0.021326687186956406,0.036772120743989944,0.0008
43,0.41787898540496826,0.04108964279294014,0.021819796413183212,0.028919022530317307,0.0008
44,0.3866319954395294,0.032056231051683426,0.01953081041574478,0.02276400662958622,0.0008
45,0.3694706857204437,0.02624974399805069,0.015052825212478638,0.019087407737970352,0.0008
46,0.35409390926361084,0.025859331712126732,0.01007798220962286,0.01700102724134922,0.0008
47,0.3194580078125,0.028767796233296394,0.006106474436819553,0.015932520851492882,0.0008
48,0.2734266221523285,0.03077327273786068,0.0039597488939762115,0.015578163787722588,0.0008
49,0.23449471592903137,0.028477873653173447,0.003408996621146798,0.01563970372080803,0.0008
50,0.22781285643577576,0.02237439528107643,0.0030392261687666178,0.014942120760679245,0.0008
51,0.23868794739246368,0.01818777620792389,0.0038934361655265093,0.01405579224228859,0.0008
52,0.23666030168533325,0.015682296827435493,0.004752342589199543,0.012591306120157242,0.0008
53,0.2118746042251587,0.01406454760581255,0.00469795148819685,0.010454360395669937,0.0008
54,0.18782690167427063,0.014757055789232254,0.004469769541174173,0.008355683647096157,0.0008
55,0.1772272288799286,0.014475230127573013,0.004603333305567503,0.007241962011903524,0.0008
56,0.17912834882736206,0.013314624316990376,0.0038644615560770035,0.006403633859008551,0.0008
57,0.18086567521095276,0.009335242211818695,0.00419375766068697,0.008223220705986023,0.0008
58,0.1722506880760193,0.007063696626573801,0.004131157882511616,0.007915264926850796,0.0008
59,0.15610752999782562,0.006145114544779062,0.0035643537994474173,0.005619141273200512,0.0008
60,0.15390318632125854,0.007528913673013449,0.004428152926266193,0.005304365884512663,0.0008
61,0.16701646149158478,0.008306637406349182,0.002826857380568981,0.0072681959718465805,0.0008
62,0.1603797823190689,0.009184852242469788,0.002966888016089797,0.008753230795264244,0.0008
63,0.17203420400619507,0.009176707826554775,0.004477841779589653,0.006897051353007555,0.0008
